Time	Humidity (%)	Temperature (C)
13:10:32	21.0	9.0
13:10:33	21.0	9.0
13:10:34	21.0	9.0
13:10:35	21.0	9.0
13:10:36	21.0	9.0
13:10:37	20.0	9.0
13:10:38	20.0	9.0
13:10:39	20.0	9.0
13:10:40	20.0	8.0
13:10:41	20.0	8.0
13:10:42	20.0	8.0
13:10:43	20.0	8.0
13:10:44	20.0	8.0
13:10:45	20.0	8.0
13:10:46	20.0	8.0
13:10:47	20.0	8.0
13:10:48	20.0	8.0
13:10:49	20.0	8.0
13:10:51	20.0	8.0
13:10:52	20.0	8.0
13:10:53	20.0	8.0
13:10:54	20.0	8.0
13:10:55	20.0	8.0
13:10:56	20.0	8.0
13:10:57	20.0	8.0
13:10:58	19.0	8.0
13:10:59	19.0	8.0
13:11:00	19.0	8.0
13:11:01	19.0	8.0
13:11:02	19.0	8.0
13:11:03	19.0	7.0
13:11:04	19.0	7.0
13:11:05	19.0	7.0
13:11:06	19.0	7.0
13:11:07	19.0	7.0
13:11:08	19.0	7.0
13:11:09	19.0	7.0
13:11:10	19.0	7.0
13:11:11	19.0	7.0
13:11:12	19.0	7.0
13:11:14	19.0	7.0
13:11:15	19.0	7.0
13:11:16	19.0	7.0
13:11:17	19.0	7.0
13:11:18	19.0	7.0
13:11:19	19.0	7.0
13:11:20	19.0	7.0
13:11:21	19.0	7.0
13:11:22	19.0	7.0
13:11:23	19.0	6.0
13:11:24	19.0	6.0
13:11:25	19.0	6.0
13:11:26	19.0	6.0
13:11:27	19.0	6.0
13:11:28	19.0	6.0
13:11:29	19.0	6.0
13:11:30	19.0	6.0
13:11:31	19.0	6.0
13:11:32	19.0	6.0
13:11:33	19.0	6.0
13:11:34	19.0	6.0
13:11:36	19.0	6.0
13:11:37	19.0	6.0
13:11:38	19.0	6.0
13:11:39	19.0	6.0
13:11:40	19.0	6.0
13:11:41	19.0	6.0
13:11:42	19.0	6.0
13:11:43	18.0	6.0
13:11:44	18.0	5.0
13:11:45	18.0	5.0
13:11:46	18.0	5.0
13:11:47	18.0	5.0
13:11:48	18.0	5.0
13:11:49	18.0	5.0
13:11:50	18.0	5.0
13:11:51	18.0	5.0
13:11:52	18.0	5.0
13:11:53	18.0	5.0
13:11:54	18.0	5.0
13:11:55	18.0	5.0
13:11:56	18.0	5.0
13:11:58	18.0	5.0
